Date,Corn,Natural_Gas,Oil,Wheat,DXY
2021-01-03,496.25,2.7,52.24,638.5,
2021-01-10,531.5,2.737,52.36,675.0,
2021-01-17,500.5,2.446,52.27,635.0,
2021-01-24,547.0,2.564,52.2,662.5,
2021-01-31,548.5,2.863,56.85,641.38,
2021-02-07,538.75,2.912,59.47,637.75,
2021-02-14,542.75,3.069,59.24,653.12,
2021-02-21,555.5,2.771,61.5,659.6,
2021-02-28,562.0,2.701,66.09,655.0,
2021-03-07,549.25,2.6,65.61,638.1,
2021-03-14,557.75,2.535,61.42,626.8,
2021-03-21,552.5,2.557,60.97,614.9,
2021-03-28,559.75,2.639,61.45,608.4,
2021-04-04,577.25,2.526,59.32,638.8,
2021-04-11,585.5,2.68,63.13,652.8,
2021-04-18,655.5,2.73,62.14,712.8,
2021-04-25,740.0,2.931,63.58,735.3,
2021-05-02,772.75,2.958,64.9,763.0,
2021-05-09,685.0,2.961,65.37,707.9,
2021-05-16,659.5,2.906,63.58,672.5,
2021-05-23,656.75,2.986,66.32,664.0,
2021-05-30,682.75,3.097,69.62,684.9,
2021-06-06,684.5,3.296,70.91,680.6,
2021-06-13,655.25,3.215,71.64,661.9,
2021-06-20,636.5,3.496,74.05,634.8,
2021-06-27,697.25,3.7,75.16,651.25,
2021-07-04,629.75,3.674,74.56,614.5,
2021-07-11,556.0,3.674,71.81,693.9,
2021-07-18,547.25,4.06,72.07,679.4,
2021-07-25,547.0,3.914,73.95,703.5,
2021-08-01,555.0,4.14,68.28,720.0,
2021-08-08,568.25,3.861,68.44,762.0,
2021-08-15,538.75,3.851,62.32,715.0,
2021-08-22,558.0,4.37,68.74,718.9,
2021-08-29,508.0,4.712,69.29,726.6,
2021-09-05,502.75,4.938,69.72,688.4,
2021-09-12,527.25,5.105,71.97,707.1,
2021-09-19,526.75,5.14,73.98,723.1,
2021-09-26,541.5,5.619,75.88,757.9,
2021-10-03,530.5,5.565,79.35,733.3,
2021-10-10,525.75,5.41,82.28,733.8,
2021-10-17,538.0,5.28,83.76,757.9,
2021-10-24,568.25,5.426,83.57,772.75,
2021-10-31,553.0,5.516,81.27,766.5,
2021-11-07,577.25,4.791,80.79,817.0,
2021-11-14,570.75,5.065,76.1,823.0,
2021-11-21,586.75,5.447,68.15,825.5,
2021-11-28,586.0,4.132,66.26,794.5,
2021-12-05,588.5,3.925,71.67,782.0,
2021-12-12,593.25,3.69,70.86,775.0,
2021-12-19,605.75,3.731,73.79,814.75,
2021-12-26,593.25,3.73,75.21,770.75,
2022-01-02,606.75,3.916,78.9,758.5,
2022-01-09,596.25,4.262,83.82,741.5,
2022-01-16,616.25,3.999,85.14,780.0,
2022-01-23,636.0,4.639,86.82,786.25,
2022-01-30,620.5,4.572,92.31,763.25,
2022-02-06,651.0,3.941,93.1,797.75,
2022-02-13,654.25,4.431,91.07,797.0,
2022-02-20,659.5,4.47,91.59,843.0,
2022-02-27,756.5,5.016,115.68,1348.0,
2022-03-06,764.5,4.725,109.33,1090.0,
2022-03-13,741.75,4.863,104.7,1063.75,
2022-03-20,754.0,5.571,113.9,1102.25,
2022-03-27,735.0,5.72,99.27,984.5,
2022-04-03,768.75,6.278,98.26,1051.5,
2022-04-10,790.25,7.3,106.95,1096.5,
2022-04-17,793.0,6.534,102.07,1065.5,
2022-04-24,818.25,7.244,104.69,1055.25,
2022-05-01,792.25,8.043,109.77,1109.5,
2022-05-08,794.5,7.663,110.49,1177.5,
2022-05-15,778.75,8.083,113.23,1168.75,
2022-05-22,777.25,8.727,115.07,1157.5,
2022-05-29,727.0,8.523,118.87,1040.0,
2022-06-05,773.25,8.85,120.67,1070.75,
2022-06-12,784.5,6.944,109.56,1034.25,
2022-06-19,750.25,6.22,107.62,923.75,
2022-06-26,754.5,5.73,108.43,846.0,
2022-07-03,778.25,6.034,104.79,891.5,
2022-07-10,604.25,7.016,97.59,794.0,
2022-07-17,564.25,8.299,94.7,759.0,
2022-07-24,616.25,8.229,98.62,807.75,
2022-07-31,610.25,8.064,89.01,775.75,
2022-08-07,639.75,8.768,92.09,806.0,
2022-08-14,626.0,9.336,90.77,753.25,
2022-08-21,668.75,9.296,93.06,784.75,
2022-08-28,669.0,8.786,86.87,811.0,
2022-09-04,698.5,7.996,86.79,869.5,
2022-09-11,677.25,7.764,85.11,859.75,
2022-09-18,676.75,6.828,78.74,880.5,
2022-09-25,677.5,6.766,79.49,921.5,
2022-10-02,683.25,6.748,92.64,880.25,
2022-10-09,689.75,6.453,85.61,859.75,
2022-10-16,684.25,4.959,85.05,850.75,
2022-10-23,680.75,5.684,87.9,829.25,
2022-10-30,681.0,6.4,92.61,847.75,
2022-11-06,658.0,5.879,88.96,813.75,
2022-11-13,667.75,6.303,80.08,803.25,
2022-11-20,668.0,7.024,76.28,775.5,
2022-11-27,635.0,6.281,80.3,761.0,
2022-12-04,634.75,6.245,71.5,734.25,
2022-12-11,653.0,6.6,74.45,753.5,
2022-12-18,666.25,5.079,79.34,776.0,
2022-12-25,678.5,4.475,80.47,792.0,
2023-01-01,654.0,3.71,73.69,743.5,
2023-01-08,675.0,3.419,80.11,743.75,
2023-01-15,676.25,3.174,81.64,741.5,
2023-01-22,683.0,3.109,79.41,750.0,
2023-01-29,677.5,2.41,73.2,756.75,
2023-02-05,680.5,2.514,79.75,786.0,
2023-02-12,677.75,2.275,76.34,765.5,
2023-02-19,650.0,2.451,76.47,708.25,
2023-02-26,645.25,3.009,79.68,708.75,
2023-03-05,624.25,2.43,76.68,679.25,
2023-03-12,634.25,2.338,66.74,710.5,
2023-03-19,643.0,2.216,69.26,688.5,
2023-03-26,660.5,2.216,75.67,692.25,
2023-04-02,643.5,2.011,80.7,675.5,
2023-04-09,666.25,2.114,82.52,682.5,
2023-04-16,663.25,2.233,77.71,661.75,
2023-04-23,636.0,2.41,76.78,633.75,
2023-04-30,653.25,2.137,71.34,660.25,
2023-05-07,586.25,2.266,70.04,635.0,
2023-05-14,554.5,2.585,71.55,605.0,
2023-05-21,604.0,2.181,72.67,616.0,
2023-05-28,609.0,2.172,71.74,619.0,
2023-06-04,604.25,2.254,70.17,630.25,
2023-06-11,640.25,2.632,71.78,688.0,
2023-06-18,630.75,2.729,69.16,733.25,
2023-06-25,554.5,2.798,70.64,651.0,
2023-07-02,560.5,2.582,73.86,649.5,
2023-07-09,599.75,2.539,75.42,661.5,
2023-07-16,536.25,2.713,77.07,697.5,
2023-07-23,521.0,2.638,80.58,704.25,
2023-07-30,484.25,2.577,82.82,633.0,
2023-08-06,474.5,2.77,83.19,626.75,
2023-08-13,479.5,2.551,81.25,613.25,
2023-08-20,470.75,2.54,79.83,593.25,
2023-08-27,464.75,2.765,85.55,595.5,
2023-09-03,468.5,2.605,87.51,595.75,
2023-09-10,476.25,2.644,90.77,604.25,
2023-09-17,477.25,2.637,90.03,579.5,
2023-09-24,476.75,2.929,90.79,541.5,
2023-10-01,492.0,3.338,82.79,568.25,
2023-10-08,493.25,3.236,87.69,579.75,
2023-10-15,495.5,2.899,88.08,586.0,
2023-10-22,480.75,3.164,85.54,575.5,
2023-10-29,477.25,3.515,80.51,572.5,
2023-11-05,464.0,3.033,77.17,575.25,
2023-11-12,467.0,2.96,75.89,550.75,
2023-11-19,482.5,2.855,75.54,577.25,
2023-11-26,464.5,2.814,74.07,602.75,
2023-12-03,465.75,2.581,71.23,631.75,
2023-12-10,483.0,2.491,71.43,629.25,
2023-12-17,473.0,2.61,73.56,616.25,
2023-12-24,471.25,2.514,71.65,628.0,
2023-12-31,460.75,2.893,73.81,616.0,
2024-01-07,447.0,3.313,72.68,596.0,
2024-01-14,445.5,2.519,73.25,593.25,
2024-01-21,446.25,2.712,78.01,600.25,
2024-01-28,442.75,2.079,72.28,599.75,
2024-02-04,441.5,1.847,76.84,599.25,
2024-02-11,429.5,1.609,79.19,559.0,
2024-02-18,413.5,1.603,76.49,569.0,
2024-02-25,412.25,1.835,79.97,560.0,
2024-03-03,426.25,1.805,78.01,526.75,
2024-03-10,436.75,1.655,81.04,528.5,
2024-03-17,439.25,1.659,80.63,554.75,
2024-03-24,442.0,1.763,83.17,560.25,
2024-03-31,434.25,2.01,86.91,567.25,
2024-04-07,447.25,1.77,85.66,570.75,
2024-04-14,443.0,1.752,83.14,566.75,
2024-04-21,440.0,1.614,83.85,603.25,
2024-04-28,447.0,2.142,78.11,606.0,
2024-05-05,455.75,2.252,78.26,645.75,
2024-05-12,452.5,2.626,80.06,651.25,
2024-05-19,464.75,2.52,77.72,697.25,
2024-05-26,446.25,2.587,76.99,678.5,
2024-06-02,454.75,2.918,75.53,649.25,
2024-06-09,457.0,2.881,78.45,628.5,
2024-06-16,440.5,2.705,80.73,575.75,
2024-06-23,407.5,2.601,80.64,553.5,
2024-06-30,410.5,2.35,83.16,572.25,
2024-07-07,402.0,2.329,82.21,538.0,
2024-07-14,404.75,2.128,80.13,542.75,
2024-07-21,410.0,2.006,77.16,523.5,
2024-07-28,403.25,1.967,73.52,562.25,
2024-08-04,395.0,2.143,76.84,565.75,
2024-08-11,392.5,2.123,76.65,552.5,
2024-08-18,391.0,2.022,74.83,528.0,
2024-08-25,378.0,2.127,72.65,532.75,
2024-09-01,383.75,2.597,67.67,553.25,
2024-09-08,390.75,2.305,68.65,571.25,101.11
2024-09-15,401.75,2.434,71.92,568.5,100.72
2024-09-22,418.0,2.902,68.18,580.0,100.38
2024-09-29,424.75,2.854,73.68,589.75,102.52
2024-10-06,415.75,2.632,75.56,599.0,102.89
2024-10-13,404.75,2.258,69.22,572.75,103.49
2024-10-20,415.25,2.56,71.78,569.0,104.26
2024-10-27,414.5,2.663,69.08,568.0,104.28
2024-11-03,444.25,2.669,70.38,587.5,105.0
2024-11-10,435.25,2.823,67.02,554.0,106.69
2024-11-17,435.25,3.129,71.24,564.75,107.55
2024-11-24,423.0,3.363,68.0,532.25,105.74
2024-12-01,430.75,2.931,67.2,542.5,106.06
2024-12-08,430.0,3.28,71.29,526.5,107.0
2024-12-15,446.25,3.748,69.46,533.0,107.62
2024-12-22,454.0,3.514,70.18,546.5,108.0
2024-12-29,450.75,3.354,73.96,529.25,108.95
2025-01-05,470.5,3.989,76.57,530.75,109.65
2025-01-12,484.25,3.948,77.88,538.75,109.35
2025-01-19,486.5,4.027,74.66,544.0,107.44
2025-01-26,482.0,3.044,71.98,559.5,108.37
2025-02-02,500.5,3.309,71.0,595.5,108.04
2025-02-09,508.75,3.725,70.74,613.5,106.71
2025-02-16,505.0,4.234,70.4,604.0,106.61
2025-02-23,453.5,3.834,69.34,537.0,107.61
2025-03-02,455.25,4.454,67.04,533.75,103.84
2025-03-09,445.5,4.104,67.18,545.75,103.72
2025-03-16,464.25,3.98,68.28,558.25,104.09
2025-03-23,453.25,4.065,68.9,542.75,104.04
2025-03-30,467.25,3.945,61.99,542.75,103.02
2025-04-06,497.0,3.527,61.5,570.25,100.1
2025-04-13,490.25,3.245,64.68,562.25,99.38
2025-04-20,485.5,2.937,62.33,545.0,99.47
2025-04-27,461.25,3.95,58.29,526.5,100.03
2025-05-04,441.5,3.795,61.02,505.5,100.34
2025-05-11,443.5,3.334,62.49,525.0,101.09
2025-05-18,459.5,3.334,60.93,542.5,99.11
2025-05-25,444.0,3.523,60.79,534.0,99.33
2025-06-01,433.25,3.784,64.58,568.75,99.19
2025-06-08,443.0,3.581,72.98,559.25,98.18
2025-06-15,441.25,3.847,74.93,583.5,98.71
2025-06-22,411.5,3.739,64.07,540.75,97.4
2025-06-29,420.25,3.431,67.0,547.75,96.96
2025-07-06,396.0,3.314,68.45,540.75,97.85
2025-07-13,427.75,3.565,67.34,546.25,98.48
2025-07-20,419.0,3.11,64.34,558.25,97.64
2025-07-27,410.75,3.188,67.33,537.0,99.14
2025-08-03,405.5,2.99,63.88,535.0,98.18
2025-08-10,405.25,2.916,62.8,527.0,97.85
2025-08-17,411.5,2.698,63.66,527.25,97.72
2025-08-24,420.25,2.997,64.01,534.25,97.77
2025-08-31,418.0,3.024,61.97,519.0,97.77
